CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,cluster,cluster_name
12347,5.0,382.52,711.79,558.172,2790.86,29.83668116637882,14.55429509183549,32.40828991780311,14.524555155041815,8.676178668940755,59,297,3,(3)Khách Hàng Cao Cấp
12348,4.0,227.44,892.8,449.31,1797.24,41.95321715519352,57.78912123736169,0.0,0.0,0.0,5,288,3,(3)Khách Hàng Cao Cấp
12350,1.0,334.4,334.4,334.4,334.4,48.44497607655503,23.654306220095695,0.0,27.900717703349283,0.0,240,240,2,(2)Ít tương tác
12352,6.0,144.35,840.3,345.66333333333336,2073.98,12.892120464035333,53.72520467892651,15.711337621384972,3.370331440033173,14.301005795620018,2,226,3,(3)Khách Hàng Cao Cấp
12353,1.0,89.0,89.0,89.0,89.0,13.03370786516854,44.7191011235955,0.0,19.887640449438205,22.35955056179775,134,134,2,(2)Ít tương tác
12354,1.0,629.43375,1079.4,802.350625,1079.4,31.176579581248838,22.06133036872336,19.70075968130443,10.825458588104501,16.23587178061886,162,162,2,(2)Ít tương tác
12355,1.0,459.4,459.4,459.4,459.4,53.28689595124075,9.882455376578147,25.27209403569874,11.558554636482372,0.0,144,144,2,(2)Ít tương tác
12356,2.0,481.46,1150.06,802.350625,2753.08,28.65699507460735,37.61423569238816,7.409882749502376,12.854693652200444,13.46419283130167,175,255,3,(3)Khách Hàng Cao Cấp
12358,1.0,484.86,484.86,484.86,484.86,10.469001361217671,16.499608134306808,3.0936765251825267,3.650538299715382,50.48734896539946,80,80,0,(0)Khách Mới
12359,3.0,547.5,1150.06,802.350625,3121.85875,9.67360611341848,37.722728494507116,14.936718372915061,11.413525707167487,26.253421311991865,119,261,3,(3)Khách Hàng Cao Cấp
12360,2.0,534.7,1083.58,802.350625,1618.28,20.361124156511853,45.802951281607626,9.429764935610647,24.40615962626987,0.0,42,130,3,(3)Khách Hàng Cao Cấp
12361,1.0,189.9,189.9,189.9,189.9,63.60591065774334,7.898894154818326,0.0,18.64139020537125,0.0,217,217,2,(2)Ít tương tác
12362,5.0,303.76,829.99,510.908,2554.54,35.64633945837607,18.41192543471623,19.087585240395534,20.27762336859082,6.576526497921348,2,225,3,(3)Khách Hàng Cao Cấp
12363,2.0,252.9,299.1,276.0,552.0,37.5,17.934782608695652,5.380434782608696,30.543478260869566,8.641304347826088,39,172,0,(0)Khách Mới
12364,2.0,79.8,623.92,351.85999999999996,703.7199999999999,42.0337634286364,48.43119422497585,4.923833342806799,4.611209003580971,0.0,8,42,0,(0)Khách Mới
12365,2.0,320.69,320.69,320.69,641.38,22.95051295643768,52.77370669493904,7.717733636845551,16.55804671177773,0.0,221,221,2,(2)Ít tương tác
12370,3.0,277.2,1150.06,802.350625,2802.66,28.218549520812374,20.421314037378774,18.432489135321443,24.79787059436393,8.129776712123483,204,290,3,(3)Khách Hàng Cao Cấp
12372,3.0,383.12,515.7,432.68,1298.04,46.57021355274106,18.970139595081818,8.528242581122308,19.80678561523528,6.1246186558195435,1,226,3,(3)Khách Hàng Cao Cấp
12373,1.0,364.6,364.6,364.6,364.6,23.53263850795392,24.95885902358749,4.85463521667581,46.65386725178278,0.0,241,241,2,(2)Ít tương tác
12375,1.0,230.3,230.3,230.3,230.3,0.0,28.44116369952236,21.62396873643074,36.12679114198871,13.808076422058186,28,28,0,(0)Khách Mới
12377,2.0,626.6,1001.52,802.350625,1628.12,27.657666511067987,17.192835908901067,29.09490700931136,19.40274672628553,6.6518438444340715,245,284,2,(2)Ít tương tác
12378,1.0,629.43375,1150.06,802.350625,3121.85875,29.98687827731239,19.435616246987742,15.704905927725754,22.23109199674701,12.641507551227104,59,59,3,(3)Khách Hàng Cao Cấp
12379,2.0,392.4,457.89,425.145,850.29,32.46539415963965,18.57013489515342,11.901821731409285,28.10100083500923,8.961648378788412,11,100,0,(0)Khách Mới
12380,2.0,607.5500000000001,626.01,616.78,1233.56,22.325626641590194,15.078309932228674,11.373585395116574,44.60747754466747,6.615000486397096,8,115,0,(0)Khách Mới
12381,1.0,629.43375,1150.06,802.350625,1227.39,23.60292979411597,30.086606539078854,11.732212255273385,22.145365368790685,12.4328860427411,49,49,0,(0)Khách Mới
12383,5.0,99.45,639.91,367.86199999999997,1839.31,29.200080464956972,42.794852417482645,11.490722064252356,8.106300732339847,8.408044320968191,114,282,3,(3)Khách Hàng Cao Cấp
12384,1.0,273.58000000000004,273.58000000000004,273.58000000000004,273.58000000000004,9.320856787776883,35.7226405438994,17.2161707727173,12.93954236420791,24.800789531398486,51,51,0,(0)Khách Mới
12386,2.0,143.0,258.9,200.95,401.9,43.44364269718836,27.66857427220702,0.0,4.4040806170689235,24.483702413535706,267,296,2,(2)Ít tương tác
12388,5.0,124.05,902.09,498.85200000000003,2494.26,20.75966418897789,16.273363642924153,31.506739473831917,22.337286409596434,9.122946284669602,5,256,3,(3)Khách Hàng Cao Cấp
12390,1.0,549.84,549.84,549.84,549.84,19.314709733740724,35.45395024006984,23.370435035646732,11.021388040157138,10.839516950385567,9,9,0,(0)Khách Mới
12393,4.0,177.00000000000003,521.5,395.65,1582.6,49.43131555667888,2.957159105269809,28.418425375963608,18.25477063060786,0.9383293314798433,2,262,3,(3)Khách Hàng Cao Cấp
