CustomerID,InvoiceNo,Basket Price,categ_0,categ_1,categ_2,categ_3,categ_4,InvoiceDate
12347,537626,711.79,83.4,23.400000000000002,124.44,187.2,293.35,2010-12-07 14:57:00.000000000
12347,542237,475.39,53.10000000000001,84.34,38.25,130.5,169.2,2011-01-26 14:29:59.999999744
12347,549222,636.25,71.10000000000001,81.0,38.25,330.90000000000003,115.0,2011-04-07 10:43:00.000000000
12347,556201,382.52,78.06,41.39999999999999,19.9,74.39999999999999,168.76,2011-06-09 13:01:00.000000000
12347,562032,584.9100000000001,119.7,61.300000000000004,136.05,109.69999999999999,158.16,2011-08-02 08:48:00.000000000
12347,573511,1294.32,435.90000000000003,154.3,132.1,203.29999999999998,368.72,2011-10-31 12:25:00.000000000
12347,581180,224.82,55.440000000000005,38.58,30.0,100.79999999999998,0.0,2011-12-07 15:52:00.000000000
12348,539318,892.8,0.0,478.8,240.0,174.0,0.0,2010-12-16 19:09:00.000000000
12348,541998,227.44,0.0,187.44,40.0,0.0,0.0,2011-01-25 10:42:00.000000000
12348,548955,367.0,0.0,17.0,40.0,310.0,0.0,2011-04-05 10:47:00.000000000
12348,568172,310.0,0.0,0.0,40.0,270.0,0.0,2011-09-25 13:13:00.000000000
12349,577609,1757.55,215.22000000000003,79.32,808.85,465.85999999999996,188.3,2011-11-21 09:51:00.000000000
12350,543037,334.4,93.30000000000001,39.099999999999994,40.0,162.0,0.0,2011-02-02 16:01:00.000000000
12352,544156,296.5,17.700000000000003,10.2,139.5,75.6,53.5,2011-02-16 12:32:59.999999744
12352,545323,144.35,0.0,0.0,109.7,19.799999999999997,14.850000000000001,2011-03-01 14:57:00.000000000
12352,545332,840.3,0.0,0.0,840.3,0.0,0.0,2011-03-01 15:52:00.000000000
12352,547390,160.33,35.400000000000006,0.0,40.0,70.08,14.850000000000001,2011-03-22 16:08:00.000000000
12352,567505,366.25,16.8,0.0,153.85,82.1,113.5,2011-09-20 14:34:00.000000000
12352,568699,266.25,0.0,0.0,117.3,19.799999999999997,129.15,2011-09-28 14:58:00.000000000
12352,574275,311.73,27.23,20.8,133.9,107.3,22.5,2011-11-03 14:36:59.999999744
12353,553900,89.0,17.700000000000003,0.0,59.699999999999996,11.6,0.0,2011-05-19 17:47:00.000000000
12354,550911,1079.4,116.85000000000001,161.38,252.0,336.52,212.65,2011-04-21 13:11:00.000000000
12355,552449,459.4,53.10000000000001,0.0,45.4,244.8,116.1,2011-05-09 13:49:00.000000000
12356,541430,2271.62,259.5,223.6,913.6800000000001,670.84,204.0,2011-01-18 09:50:00.000000000
12356,549435,481.46000000000004,94.4,174.15,94.8,118.11,0.0,2011-04-08 12:33:00.000000000
12356,576895,58.349999999999994,0.0,0.0,58.349999999999994,0.0,0.0,2011-11-17 08:40:00.000000000
12357,574740,6207.67,911.5800000000002,315.96,2073.35,1146.9,1759.88,2011-11-06 16:07:00.000000000
12358,559707,484.86,17.700000000000003,0.0,401.40000000000003,50.76,15.0,2011-07-12 10:04:00.000000000
12358,581232,683.2,0.0,0.0,659.8000000000001,23.4,0.0,2011-12-08 10:26:00.000000000
12359,540946,547.5,52.7,8.4,393.1,16.8,76.5,2011-01-12 12:43:00.000000000
12359,543370,1803.11,138.70000000000002,97.56,1148.3,146.7,271.85,2011-02-07 14:51:00.000000000
12359,555477,1109.32,203.5,40.31999999999999,525.85,171.2,168.45000000000002,2011-06-03 12:26:00.000000000
12359,571034,2680.55,317.18,10.08,1388.95,316.84,647.5,2011-10-13 12:47:00.000000000
12360,554132,1083.58,172.26000000000002,116.96,429.09999999999997,262.46,102.80000000000001,2011-05-23 09:43:00.000000000
12360,563749,534.7,222.70000000000002,47.36,147.8,67.03999999999999,49.800000000000004,2011-08-19 10:10:00.000000000
12360,571705,1043.78,296.82,141.24,233.45,190.32,181.95000000000002,2011-10-18 15:22:00.000000000
12361,545017,189.9,35.400000000000006,0.0,15.0,139.5,0.0,2011-02-25 13:51:00.000000000
12362,544203,474.2,136.85,10.2,45.0,232.35,49.8,2011-02-17 10:30:00.000000000
12362,551346,495.24,61.8,38.04,60.9,219.5,115.0,2011-04-28 09:12:00.000000000
12362,559295,303.76,53.10000000000001,20.16,86.65,94.19999999999999,49.650000000000006,2011-07-07 12:32:00.000000000
12362,563037,451.35,68.4,51.0,45.0,278.45,8.5,2011-08-11 15:02:00.000000000
